country,year,gdp_usd_billions,population,gdp_per_capita
United States,2020,20953.03,331002651,63289
China,2020,14722.73,1439323776,10229
Japan,2020,4940.88,126476461,39047
Germany,2020,3846.41,83783942,45912
India,2020,3173.40,1380004385,2299
United Kingdom,2020,2829.11,67886011,41679
France,2020,2624.93,65273511,40230
Italy,2020,2106.29,60461826,34834
Brazil,2020,1608.98,212559417,7569
Canada,2020,1644.04,37742154,43557
United States,2021,23315.08,331002651,70424
China,2021,17734.06,1439323776,12317
Japan,2021,4937.42,126476461,39020
Germany,2021,4259.93,83783942,50874
India,2021,3385.09,1380004385,2452
United Kingdom,2021,3131.38,67886011,46125
France,2021,2938.27,65273511,45024
Italy,2021,2107.70,60461826,34857
Brazil,2021,1608.98,212559417,7569
Canada,2021,1988.34,37742154,52689
United States,2022,25462.70,331002651,76939
China,2022,17734.06,1439323776,12317
Japan,2022,4940.88,126476461,39047
Germany,2022,4259.93,83783942,50874
India,2022,3737.88,1380004385,2708
United Kingdom,2022,3131.38,67886011,46125
France,2022,2938.27,65273511,45024
Italy,2022,2107.70,60461826,34857
Brazil,2022,2055.51,212559417,9673
Canada,2022,2139.84,37742154,56689
